X;Y;Z;Alteration;Au (gr/ton);Ag (gr/ton);Mineralization_d;Mineralization
41350.9247;802966.5728;436.42;1;1.992;10.4;Oxido;1
41351.4167;802966.5228;436.85;6;1.822;13.2;Oxido;1
41349.89127;802973.7568;439.588;1;0.56363636;6.2;Oxido;1
41350.2118;802973.0743;439.574;1;2.32436364;33.94545454;Oxido;1
41350.55438;802972.3934;439.536;1;1.2421818;9.1090909;Oxido;1
41350.96845;802971.7803;439.581;6;1.521;22.55;Oxido;1
41352.1462;802966.5728;436.9015;6;1.85544828;14.4137931;Oxido;1
41352.85685;802966.5679;436.9035;6;2.83475864;26;Oxido;1
41353.57276;802966.459;436.9035;6;2.09627588;16.04137932;Oxido;1
41354.26511;802966.2138;436.85;6;2.74565516;19.73793104;Oxido;1
41354.94033;802965.932;436.8;6;3.02606896;15.55862068;Oxido;1
41347.42601;802970.4599;437.137;6;1.08457144;6.2;Oxido;1
41347.54556;802969.8149;437.1105;6;0.728;9.22857142;Oxido;1
41347.74306;802969.2274;436.992;6;3.3;27.2;Oxido;1
41348.09362;802968.7375;436.95;6;3.55714284;25.54285714;Oxido;1
41348.54712;802968.2355;437.019;6;1.35942856;7.88571428;Oxido;1
41349.00461;802967.6777;437.019;6;3.88628572;31.02857142;Oxido;1
